Inventory,productid,storeid
20,1,bangalore
35,2,bangalore
45,3,bangalore
40,4,bangalore
40,5,bangalore
90,6,bangalore
100,7,bangalore
40,8,bangalore
80,9,bangalore
40,10,bangalore
33,11,bangalore
35,12,bangalore
2,13,bangalore
90,14,bangalore
10,15,bangalore
90,16,bangalore
20,17,bangalore
30,18,bangalore
10,19,bangalore
20,20,bangalore
20,21,bangalore
35,23,bangalore
45,24,bangalore
40,25,bangalore
40,26,bangalore
100,27,bangalore
100,28,bangalore
40,29,bangalore
40,30,bangalore
35,31,bangalore
20,32,bangalore
2,33,bangalore
23,34,bangalore
90,35,bangalore
30,36,bangalore
10,37,bangalore
35,1,mumbai
20,2,mumbai
2,3,mumbai
23,4,mumbai
90,5,mumbai
30,6,mumbai
10,7,mumbai
0,8,mumbai
80,9,mumbai
0,10,mumbai
111,11,mumbai
35,12,mumbai
76,13,mumbai
90,14,mumbai
0,15,mumbai
100,16,mumbai
100,17,mumbai
22,18,mumbai
10,19,mumbai
102,20,mumbai
0,21,mumbai
35,23,mumbai
45,24,mumbai
0,25,mumbai
40,26,mumbai
100,27,mumbai
100,28,mumbai
40,29,mumbai
35,30,mumbai
0,31,mumbai
90,32,mumbai
0,33,mumbai
90,34,mumbai
87,35,mumbai
3,36,mumbai
4,37,mumbai
