productid,category,categoryid,title,keyword,description,style,color,size,Price,Inventory,margin,brand
1,mens shirt,101,Polo Stripes,"stripes, contemperory",Style wise this is contemperory,Stripes,White,M,400,20,35,Polo
2,womens top,102,Boxy Top Stripes,"stripes, seasonal",Style wise its casual,Crew,Red,L,450,35,20,Boxy
3,mens shirt,101,Polo shirt,"solid, traditional","striped, trendy, traditional",Solid,Brown,M,350,45,35,Polo
4,womens top,102,Peplum Solid,"dark, trendy",Style wise this is contemperory,Crew,Green,L,500,40,22,Peplum
5,womens top,102,Racerback Solid,"trendy, stylish","dark colored , trendy",Blouse,Ecru,M,550,40,33,Racerback
6,mens shirt,101,Zee Stripes wear,"stripes, trendy","striped, trendy, traditional",Stripes,Orange,M,435,90,17,Zee
7,womens top,102,Crop Solid,"all seasonal, solids",Style wise this is contemperory,Regular,Multi,M,390,100,17,Zee
8,womens top,102,Sleeve Ruffled Top,"sleeves, solids",wear anytime & everywhere,Blouse,Brown,L,475,40,23,Ruffles
9,mens shirt,101,Arrow Shirt Party wear,"party, striped","striped, trendy, traditional",,Ecru,L,550,80,40,Arrow
10,womens top,102,Boxy Top - Solid,"sleeves, solids",Boxy Top - Solid,Crew,Beige,M,600,40,36,Boxy
11,mens shirt,101,Polo Tshirts,"contemperory, casual",Style wise this is contemperory,Casual,Pink,L,374,33,35,Polo
12,mens shirt,101,Arrow Official Solids,"all seasonal, solids",wear anytime & everywhere,,Yellow,L,490,35,33,Arrow
13,womens top,102,Kaya Ruffled Top,"trendy, easy wear","very dark, trendy & solid casual",Blouse,Yellow,L,650,2,22,Kaya
14,mens shirt,101,Newport Tshirts,"casual, stylish",Style wise this is contemperory,Casual,Red,M,550,90,11,Newport
15,womens top,102,Ditsy Solids,"all seasonal, solids","Very dark colored, trendy",Regular,Green,XL,495,10,32,Ditsy
16,mens shirt,101,Zee Solids,"stylish, dark",Style wise its casual,,Orange,M,394,90,7,Zee
17,womens top,102,Annabelle Solid,"dark, trendy, annabelle","dard colored, trendy",Regular,Orange,XL,475,20,8,Annabelle
18,womens top,102,Annabelle Strips,"stripes, all seasonal","striped, trendy, traditional",Regular,Blue,M,525,30,32,Annabelle
19,mens shirt,101,Zee Party,party,"Very dark colored, trendy",Party,Red,L,390,10,12,Zee
20,mens shirt,101,Polo Stripes,"stripes, contemperory",Style wise this is contemperory,Stripes,White,L,400,20,35,Polo
21,mens shirt,101,Polo Stripes,"stripes, contemperory",Style wise this is contemperory,Stripes,Black,M,400,20,35,Polo
23,womens top,102,Boxy Top Stripes,"stripes, seasonal",Style wise its casual,Crew,Pink,XL,450,35,20,Boxy
24,mens shirt,101,Polo shirt,"solid, traditional","striped, trendy, traditional",Solid,Black,L,350,45,35,Polo
25,womens top,102,Racerback Solid,"trendy, stylish","dark colored , trendy",Blouse,Ecru,XL,550,40,33,Racerback
26,womens top,102,Racerback Solid,"trendy, stylish","dark colored , trendy",Blouse,Green,L,550,40,33,Racerback
27,womens top,102,Crop Solid,"all seasonal, solids",Style wise this is contemperory,Regular,Purple,L,400,100,17,Zee
28,womens top,102,Crop Solid,"all seasonal, solids",Style wise this is contemperory,Regular,Purple,XL,401,100,17,Zee
29,womens top,102,Sleeve Ruffled Top,"sleeves, solids",wear anytime & everywhere,Blouse,Black,L,475,40,23,Ruffles
30,womens top,102,Boxy Top - Solid,"sleeves, solids",Boxy Top - Solid,Crew,Purple,M,600,40,41,Boxy
31,mens shirt,101,Polo Tshirts,"contemperory, casual",Style wise this is contemperory,Casual,Green,M,410,35,33,Polo
32,mens shirt,101,Polo Tshirts,"contemperory, casual",Style wise this is contemperory,Casual,Brown,L,450,20,15,Polo
33,womens top,102,Kaya Ruffled Top,"trendy, easy wear","very dark, trendy & solid casual",Blouse,Purple,M,450,2,33,Kaya
34,mens shirt,101,Newport Tshirts,"casual, stylish",Style wise this is contemperory,Casual,Brown,L,450,23,22,Newport
35,mens shirt,101,Zee Solids,"stylish, dark",Style wise its casual,,Ecru,L,394,90,7,Zee
36,womens top,102,Annabelle Strips,"stripes, all seasonal","striped, trendy, traditional",Regular,White,L,525,30,32,Annabelle
37,mens shirt,101,Zee Party,party,"Very dark colored, trendy",Party,Blue,M,390,10,12,Zee
